Adım 286: Hücre(4,4) = 2
Adım 287: Hücre(4,6) = 4
Adım 288: Hücre(4,8) = 1
Adım 288: Hücre(4,8) sıfırlandı.
Adım 288: Hücre(4,6) sıfırlandı.
Adım 288: Hücre(4,4) sıfırlandı.
Adım 288: Hücre(4,2) sıfırlandı.
Adım 288: Hücre(4,1) sıfırlandı.
Adım 288: Hücre(4,0) sıfırlandı.
Adım 288: Hücre(3,8) sıfırlandı.
Adım 288: Hücre(3,7) sıfırlandı.
Adım 288: Hücre(3,5) sıfırlandı.
Adım 288: Hücre(3,4) sıfırlandı.
Adım 288: Hücre(3,3) sıfırlandı.
Adım 288: Hücre(3,2) sıfırlandı.
Adım 289: Hücre(3,2) = 3
Adım 290: Hücre(3,3) = 6
Adım 291: Hücre(3,4) = 2
Adım 292: Hücre(3,5) = 1
Adım 293: Hücre(3,7) = 8
Adım 293: Hücre(3,7) sıfırlandı.
Adım 293: Hücre(3,5) sıfırlandı.
Adım 294: Hücre(3,5) = 4
Adım 295: Hücre(3,7) = 1
Adım 296: Hücre(3,8) = 8
Adım 297: Hücre(4,0) = 6
Adım 298: Hücre(4,1) = 2
Adım 299: Hücre(4,2) = 4
Adım 299: Hücre(4,2) sıfırlandı.
Adım 300: Hücre(4,2) = 8
Adım 300: Hücre(4,2) sıfırlandı.
Adım 300: Hücre(4,1) sıfırlandı.
Adım 300: Hücre(4,0) sıfırlandı.
Adım 300: Hücre(3,8) sıfırlandı.
Adım 300: Hücre(3,7) sıfırlandı.
Adım 301: Hücre(3,7) = 8
Adım 302: Hücre(3,8) = 1
Adım 303: Hücre(4,0) = 6
Adım 304: Hücre(4,1) = 2
Adım 305: Hücre(4,2) = 4
Adım 305: Hücre(4,2) sıfırlandı.
Adım 306: Hücre(4,2) = 8
Adım 306: Hücre(4,2) sıfırlandı.
Adım 306: Hücre(4,1) sıfırlandı.
Adım 306: Hücre(4,0) sıfırlandı.
Adım 306: Hücre(3,8) sıfırlandı.
Adım 306: Hücre(3,7) sıfırlandı.
Adım 306: Hücre(3,5) sıfırlandı.
Adım 306: Hücre(3,4) sıfırlandı.
Adım 307: Hücre(3,4) = 4
Adım 308: Hücre(3,5) = 1
Adım 309: Hücre(3,7) = 2
Adım 310: Hücre(3,8) = 8
Adım 311: Hücre(4,0) = 6
Adım 312: Hücre(4,1) = 2
Adım 313: Hücre(4,2) = 4
Adım 313: Hücre(4,2) sıfırlandı.
Adım 314: Hücre(4,2) = 8
Adım 314: Hücre(4,2) sıfırlandı.
Adım 314: Hücre(4,1) sıfırlandı.
Adım 314: Hücre(4,0) sıfırlandı.
Adım 314: Hücre(3,8) sıfırlandı.
Adım 314: Hücre(3,7) sıfırlandı.
Adım 315: Hücre(3,7) = 8
Adım 315: Hücre(3,7) sıfırlandı.
Adım 315: Hücre(3,5) sıfırlandı.
Adım 316: Hücre(3,5) = 2
Adım 317: Hücre(3,7) = 1
Adım 318: Hücre(3,8) = 8
Adım 319: Hücre(4,0) = 6
Adım 320: Hücre(4,1) = 2
Adım 321: Hücre(4,2) = 4
Adım 321: Hücre(4,2) sıfırlandı.
Adım 322: Hücre(4,2) = 8
Adım 322: Hücre(4,2) sıfırlandı.
Adım 322: Hücre(4,1) sıfırlandı.
Adım 322: Hücre(4,0) sıfırlandı.
Adım 322: Hücre(3,8) sıfırlandı.
Adım 322: Hücre(3,7) sıfırlandı.
Adım 323: Hücre(3,7) = 8
Adım 324: Hücre(3,8) = 1
Adım 325: Hücre(4,0) = 6
Adım 326: Hücre(4,1) = 2
Adım 327: Hücre(4,2) = 4
Adım 327: Hücre(4,2) sıfırlandı.
Adım 328: Hücre(4,2) = 8
Adım 328: Hücre(4,2) sıfırlandı.
Adım 328: Hücre(4,1) sıfırlandı.
Adım 328: Hücre(4,0) sıfırlandı.
Adım 328: Hücre(3,8) sıfırlandı.
Adım 328: Hücre(3,7) sıfırlandı.
Adım 328: Hücre(3,5) sıfırlandı.
Adım 328: Hücre(3,4) sıfırlandı.
Adım 328: Hücre(3,3) sıfırlandı.
Adım 328: Hücre(3,2) sıfırlandı.
Adım 329: Hücre(3,2) = 4
Adım 330: Hücre(3,3) = 3
Adım 331: Hücre(3,4) = 2
Adım 332: Hücre(3,5) = 1
Adım 333: Hücre(3,7) = 8
Adım 333: Hücre(3,7) sıfırlandı.
Adım 333: Hücre(3,5) sıfırlandı.
Adım 333: Hücre(3,4) sıfırlandı.
Adım 334: Hücre(3,4) = 6
Adım 335: Hücre(3,5) = 1
Adım 336: Hücre(3,7) = 2
Adım 337: Hücre(3,8) = 8
Adım 338: Hücre(4,0) = 6
Adım 339: Hücre(4,1) = 2
Adım 340: Hücre(4,2) = 3
Adım 341: Hücre(4,4) = 4
Adım 341: Hücre(4,4) sıfırlandı.
Adım 341: Hücre(4,2) sıfırlandı.
Adım 342: Hücre(4,2) = 8
